Material_ID,Category,Material,Specification / Grade,Quality_Tier,Unit,Hyderabad_Low_INR,Hyderabad_Base_INR,Hyderabad_High_INR,India_Typical_INR,Wastage_%,GST_%,Rate_Date,Rate_Basis,Vendor_Quote_Required,IS_Code / Standard,Notes,Source_URL
HYD26-0011,Cement & Binders,Hydrated Lime,Building lime,Economy,kg,8.8,11.0,13.2,11.11,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0012,Cement & Binders,Gypsum Plaster,Ready-mix,Standard,kg,14.4,18.0,21.6,18.18,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0013,Steel & Metals,TMT Rebar,Fe500D 8 mm,Standard,kg,60.0,63.0,66.0,63.64,0.03,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 1786,,https://infralens.in/prices/steel/hyderabad
HYD26-0014,Steel & Metals,TMT Rebar,Fe500D 10 mm,Standard,kg,59.0,62.0,65.0,62.63,0.03,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 1786,,https://infralens.in/prices/steel/hyderabad
HYD26-0015,Steel & Metals,TMT Rebar,Fe500D 12 mm,Standard,kg,58.0,61.0,64.0,61.62,0.03,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 1786,,https://infralens.in/prices/steel/hyderabad
HYD26-0016,Steel & Metals,TMT Rebar,Fe500D 16 mm,Standard,kg,57.0,60.0,63.0,60.61,0.03,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 1786,,https://infralens.in/prices/steel/hyderabad
HYD26-0017,Steel & Metals,TMT Rebar,Fe500D 20 mm,Standard,kg,57.0,60.0,63.0,60.61,0.03,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 1786,,https://infralens.in/prices/steel/hyderabad
HYD26-0018,Steel & Metals,TMT Rebar,Fe500D 25 mm,Standard,kg,48.0,60.0,72.0,60.61,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0019,Steel & Metals,TMT Rebar,Fe550D 12 mm,Standard,kg,51.2,64.0,76.8,64.65,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0020,Steel & Metals,Binding Wire,16–18 gauge,Standard,kg,54.4,68.0,81.6,68.69,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0021,Steel & Metals,Structural Steel,ISMB/ISMC E250,Standard,kg,56.0,70.0,84.0,70.71,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0022,Steel & Metals,MS Angle,ISA E250,Standard,kg,54.4,68.0,81.6,68.69,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0023,Steel & Metals,MS Channel,ISMC E250,Standard,kg,56.0,70.0,84.0,70.71,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0024,Steel & Metals,MS Flat,E250,Standard,kg,53.6,67.0,80.4,67.68,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0025,Steel & Metals,MS Plate,6–12 mm,Standard,kg,55.2,69.0,82.8,69.7,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0026,Steel & Metals,Chequered Plate,MS,Standard,kg,61.6,77.0,92.4,77.78,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0027,Steel & Metals,GI Sheet,0.5–0.8 mm,Standard,kg,74.4,93.0,111.6,93.94,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0028,Steel & Metals,GI Pipe Structural,Medium class,Standard,kg,76.0,95.0,114.0,95.96,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/steel/hyderabad
HYD26-0029,"Sand, Aggregate & Earth",River Sand,Washed,Standard,tonne,1500.0,1750.0,2000.0,1944.44,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0030,"Sand, Aggregate & Earth",M-Sand,Manufactured,Standard,tonne,1100.0,1250.0,1400.0,1388.89,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0031,"Sand, Aggregate & Earth",P-Sand,Plastering,Standard,tonne,1300.0,1500.0,1700.0,1666.67,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0032,"Sand, Aggregate & Earth",Coarse Aggregate,20 mm,Standard,tonne,909.0,1191.0,1473.0,1323.33,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0033,"Sand, Aggregate & Earth",Coarse Aggregate,10 mm,Standard,tonne,957.0,1240.0,1522.0,1377.78,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0034,"Sand, Aggregate & Earth",Coarse Aggregate,40 mm,Standard,tonne,805.0,1063.0,1320.0,1181.11,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0035,"Sand, Aggregate & Earth",Stone Dust,Crusher dust,Standard,tonne,649.0,826.0,1003.0,917.78,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0036,"Sand, Aggregate & Earth",Boulder Soling,40 mm+,Standard,tonne,711.0,942.0,1173.0,1046.67,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0037,"Sand, Aggregate & Earth",GSB,Grade 1,Standard,tonne,711.0,917.0,1123.0,1018.89,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0038,"Sand, Aggregate & Earth",Stone Chips,6 mm,Standard,tonne,1005.0,1265.0,1524.0,1405.56,0.05,0.05,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0039,"Sand, Aggregate & Earth",Selected Earth,Filling soil,Standard,m³,520.0,650.0,780.0,722.22,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0040,"Sand, Aggregate & Earth",Murrum,Sub-base fill,Standard,m³,680.0,850.0,1020.0,944.44,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0041,"Sand, Aggregate & Earth",Gravel,40–60 mm,Standard,m³,1320.0,1650.0,1980.0,1833.33,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0042,"Sand, Aggregate & Earth",Washed Gravel,Decorative 10–20 mm,Standard,tonne,1320.0,1650.0,1980.0,1833.33,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/aggregates/hyderabad
HYD26-0043,Concrete & Precast,Ready-Mix Concrete,M20,Standard,m³,4342.0,4905.0,5468.0,5005.1,0.02,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 456,,https://infralens.in/prices/concrete/hyderabad
HYD26-0044,Concrete & Precast,Ready-Mix Concrete,M25,Standard,m³,4860.0,5375.0,5889.0,5484.69,0.02,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 456,,https://infralens.in/prices/concrete/hyderabad
HYD26-0045,Concrete & Precast,Ready-Mix Concrete,M30,Standard,m³,5280.0,5846.0,6411.0,5965.31,0.02,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 456,,https://infralens.in/prices/concrete/hyderabad
HYD26-0046,Concrete & Precast,Ready-Mix Concrete,M35,Standard,m³,5800.0,6372.0,6943.0,6502.04,0.02,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 456,,https://infralens.in/prices/concrete/hyderabad
HYD26-0047,Concrete & Precast,Ready-Mix Concrete,M40,Standard,m³,6200.0,6773.0,7345.0,6911.22,0.02,0.18,2026-08-12,Direct Aug-2026 market reference,NO,IS 456,,https://infralens.in/prices/concrete/hyderabad
HYD26-0048,Concrete & Precast,Ready-Mix Concrete,M10 lean,Standard,m³,3240.0,4050.0,4860.0,4132.65,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/concrete/hyderabad
HYD26-0049,Concrete & Precast,Ready-Mix Concrete,M15 PCC,Standard,m³,3560.0,4450.0,5340.0,4540.82,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/concrete/hyderabad
HYD26-0050,Concrete & Precast,Ready-Mix Concrete,M45,Standard,m³,5880.0,7350.0,8820.0,7500.0,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/concrete/hyderabad
HYD26-0051,Concrete & Precast,Ready-Mix Concrete,M50,Standard,m³,6320.0,7900.0,9480.0,8061.22,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/concrete/hyderabad
HYD26-0052,Concrete & Precast,Concrete Pumping,Boom/line pump,Standard,m³,240.0,300.0,360.0,306.12,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/concrete/hyderabad
HYD26-0053,Concrete & Precast,Precast RCC Kerb,Road kerb,Standard,rmt,304.0,380.0,456.0,387.76,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0054,Concrete & Precast,Precast Drain Cover,Medium duty,Standard,piece,520.0,650.0,780.0,663.27,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0055,Concrete & Precast,RCC Manhole Cover,Medium duty,Standard,piece,1120.0,1400.0,1680.0,1428.57,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0056,Concrete & Precast,RCC Compound Post,Standard,Standard,piece,480.0,600.0,720.0,612.24,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/hyderabad
HYD26-0057,"Bricks, Blocks & Masonry",Red Clay Brick,9×4×3 in,Standard,piece,9.0,11.0,12.0,11.46,0.05,0.12,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0058,"Bricks, Blocks & Masonry",Fly Ash Brick,Standard,Standard,piece,5.0,6.0,7.0,6.25,0.05,0.12,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0059,"Bricks, Blocks & Masonry",AAC Block,600×200×200,Standard,piece,59.0,77.0,95.0,80.21,0.05,0.12,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0060,"Bricks, Blocks & Masonry",Solid Concrete Block,400×200×200,Standard,piece,39.0,50.0,61.0,52.08,0.05,0.12,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0061,"Bricks, Blocks & Masonry",Hollow Concrete Block,400×200×200,Standard,piece,35.0,45.0,55.0,46.88,0.05,0.12,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0062,"Bricks, Blocks & Masonry",AAC Block,600×200×100 / 4 in,Standard,piece,38.0,48.0,58.0,50.0,0.05,0.12,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0063,"Bricks, Blocks & Masonry",AAC Block,600×200×150 / 6 in,Standard,piece,54.0,67.0,80.0,69.79,0.05,0.12,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0064,"Bricks, Blocks & Masonry",CLC Block,6 in,Standard,piece,34.0,38.0,41.0,39.58,0.05,0.12,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0065,"Bricks, Blocks & Masonry",Wire-cut Facing Brick,Premium,Standard,piece,14.4,18.0,21.6,18.75,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0066,"Bricks, Blocks & Masonry",Porotherm Block,8 in,Standard,piece,49.6,62.0,74.4,64.58,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0067,"Bricks, Blocks & Masonry",Porotherm Block,4 in,Standard,piece,33.6,42.0,50.4,43.75,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0068,"Bricks, Blocks & Masonry",Glass Block,190×190×80,Standard,piece,192.0,240.0,288.0,250.0,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0069,"Bricks, Blocks & Masonry",Laterite Block,Dressed,Standard,piece,36.0,45.0,54.0,46.88,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0070,"Bricks, Blocks & Masonry",AAC Jointing Mortar,Polymer modified,Standard,kg,10.4,13.0,15.6,13.54,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/masonry/hyderabad
HYD26-0071,"Tiles, Stone & Flooring",Vitrified Tile,600×600,Standard,sq ft,60.0,85.0,110.0,74.56,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0072,"Tiles, Stone & Flooring",Ceramic Wall Tile,300×450,Standard,sq ft,42.0,64.0,85.0,56.14,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0073,"Tiles, Stone & Flooring",Granite Slab,Standard polished,Standard,sq ft,55.0,78.0,100.0,68.42,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0074,"Tiles, Stone & Flooring",Indian Marble,Standard,Standard,sq ft,150.0,190.0,230.0,166.67,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0075,"Tiles, Stone & Flooring",Kota Stone,Standard,Standard,sq ft,35.0,43.0,50.0,37.72,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0076,"Tiles, Stone & Flooring",Italian Marble,Statuario 20 mm,Standard,sq ft,338.0,603.0,868.0,528.95,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0077,"Tiles, Stone & Flooring",Makrana Marble,White 20 mm,Standard,sq ft,146.0,339.0,532.0,297.37,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0078,"Tiles, Stone & Flooring",Laminate Flooring,8 mm HDF,Standard,sq ft,56.0,96.0,135.0,84.21,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0079,"Tiles, Stone & Flooring",SPC Vinyl Flooring,4 mm click-lock,Standard,sq ft,68.0,115.0,161.0,100.88,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0080,"Tiles, Stone & Flooring",Cuddapah Black Stone,Polished,Standard,sq ft,24.0,38.0,52.0,33.33,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0081,"Tiles, Stone & Flooring",Ceramic Floor Tile,Standard,Standard,sq ft,41.6,52.0,62.4,45.61,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0082,"Tiles, Stone & Flooring",Anti-skid Tile,Bathroom,Standard,sq ft,52.0,65.0,78.0,57.02,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0083,"Tiles, Stone & Flooring",Double-charge Vitrified,600/800 mm,Standard,sq ft,84.0,105.0,126.0,92.11,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0084,"Tiles, Stone & Flooring",GVT,Glazed vitrified,Standard,sq ft,92.0,115.0,138.0,100.88,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0085,"Tiles, Stone & Flooring",PGVT,Polished glazed,Standard,sq ft,108.0,135.0,162.0,118.42,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0086,"Tiles, Stone & Flooring",Full-body Vitrified,Heavy traffic,Standard,sq ft,140.0,175.0,210.0,153.51,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0087,"Tiles, Stone & Flooring",Large-format Vitrified,800×1600,Standard,sq ft,120.0,150.0,180.0,131.58,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0088,"Tiles, Stone & Flooring",Porcelain Tile,Premium,Standard,sq ft,180.0,225.0,270.0,197.37,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/tiles/hyderabad
HYD26-0089,"Tiles, Stone & Flooring",Tandur Limestone,Natural/honed,Standard,sq ft,38.4,48.0,57.6,42.11,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://www.studiomatrx.org/guides/flooring-cost-hyderabad
HYD26-0090,"Tiles, Stone & Flooring",Premium Granite,Black Galaxy/Absolute Black,Standard,sq ft,144.0,180.0,216.0,157.89,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://www.studiomatrx.org/guides/flooring-cost-hyderabad
HYD26-0091,"Wood, Boards & Laminates",Commercial Plywood,19 mm,Standard,sq ft,61.0,79.0,97.0,74.53,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0092,"Wood, Boards & Laminates",BWR Plywood,19 mm,Standard,sq ft,109.0,142.0,174.0,133.96,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0093,"Wood, Boards & Laminates",Marine Plywood,19 mm,Standard,sq ft,253.0,300.0,346.0,283.02,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0094,"Wood, Boards & Laminates",Laminate Sheet,General,Standard,sq ft,18.0,26.0,34.0,24.53,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0095,"Wood, Boards & Laminates",Teak Wood,Seasoned,Standard,cft,2678.0,3502.0,4326.0,3303.77,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0096,"Wood, Boards & Laminates",MDF Board,19 mm,Standard,sq ft,45.0,61.0,77.0,57.55,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0097,"Wood, Boards & Laminates",Block Board,19 mm,Standard,sq ft,65.0,89.0,112.0,83.96,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0098,"Wood, Boards & Laminates",Sal Wood,Seasoned,Standard,cft,1632.0,2244.0,2856.0,2116.98,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0099,"Wood, Boards & Laminates",Sheesham,Furniture grade,Standard,cft,1734.0,2499.0,3264.0,2357.55,0.1,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0100,"Wood, Boards & Laminates",Shuttering Plywood,12 mm film-faced,Standard,sq ft,52.0,65.0,78.0,61.32,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://civilinfo.net/rates/timber-plywood/hyderabad/
HYD26-0101,"Wood, Boards & Laminates",Particle Board,18 mm,Standard,sq ft,34.4,43.0,51.6,40.57,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://civilinfo.net/rates/timber-plywood/hyderabad/
HYD26-0102,"Wood, Boards & Laminates",WPC Board,18 mm,Standard,sq ft,102.4,128.0,153.6,120.75,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://civilinfo.net/rates/timber-plywood/hyderabad/
HYD26-0103,"Wood, Boards & Laminates",HDF Board,8–12 mm,Standard,sq ft,68.0,85.0,102.0,80.19,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0104,"Wood, Boards & Laminates",HDHMR Board,18 mm,Standard,sq ft,96.0,120.0,144.0,113.21,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0105,"Wood, Boards & Laminates",Natural Veneer,Decorative,Standard,sq ft,76.0,95.0,114.0,89.62,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/wood/hyderabad
HYD26-0106,"Wood, Boards & Laminates",Acrylic Cabinet Sheet,High gloss,Standard,sq ft,176.0,220.0,264.0,207.55,0.05,0.18,2026-08-12,Derived estimating rate,YES,,,https://infralens.in/prices/wood/hyderabad
HYD26-0107,"Wood, Boards & Laminates",PVC Laminate,1.5 mm,Standard,sq ft,68.0,85.0,102.0,80.19,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0108,"Wood, Boards & Laminates",Charcoal Panel,Decorative,Standard,sq ft,144.0,180.0,216.0,169.81,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/wood/hyderabad
HYD26-0109,"Doors, Windows, Glass & Facade",Plain Float Glass,5 mm,Standard,sq ft,33.0,41.0,48.0,41.84,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0110,"Doors, Windows, Glass & Facade",Toughened Glass,8 mm,Standard,sq ft,84.0,105.0,125.0,107.14,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0111,"Doors, Windows, Glass & Facade",Toughened Glass,12 mm,Standard,sq ft,120.0,150.0,179.0,153.06,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0112,"Doors, Windows, Glass & Facade",DGU,5+12+5 argon,Standard,sq ft,221.0,271.0,321.0,276.53,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0113,"Doors, Windows, Glass & Facade",Aluminium Section,Window profile,Standard,kg,291.0,338.0,385.0,344.9,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0114,"Doors, Windows, Glass & Facade",uPVC Window Profile,2-track branded,Standard,sq ft,453.0,657.0,860.0,670.41,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0115,"Doors, Windows, Glass & Facade",ACP Sheet,4 mm PVDF,Standard,sq ft,58.0,82.0,106.0,83.67,0.08,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0116,"Doors, Windows, Glass & Facade",Flush Door,7×3 ft 35 mm BWR,Standard,piece,2157.0,2812.0,3467.0,2869.39,0.07,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/doors/hyderabad
HYD26-0117,"Doors, Windows, Glass & Facade",WPC Door,7×3 ft,Standard,piece,1995.0,2836.0,3676.0,2893.88,0.07,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/doors/hyderabad
HYD26-0118,"Doors, Windows, Glass & Facade",Teak Panel Door,7×3 ft,Standard,piece,12602.0,17853.0,23103.0,18217.35,0.07,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/doors/hyderabad
HYD26-0119,"Doors, Windows, Glass & Facade",Sal Door Frame,7×3 ft,Standard,piece,2697.0,3853.0,5008.0,3931.63,0.07,0.18,2026-08-12,Direct Aug-2026 market reference,NO,,,https://infralens.in/prices/doors/hyderabad
HYD26-0120,"Doors, Windows, Glass & Facade",Float Glass,6 mm,Standard,sq ft,40.0,50.0,60.0,51.02,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
HYD26-0121,"Doors, Windows, Glass & Facade",Toughened Glass,10 mm,Standard,sq ft,104.0,130.0,156.0,132.65,0.05,0.18,2026-08-12,Derived estimating rate,NO,,,https://infralens.in/prices/interiors/hyderabad
